"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"678",8260919,"202320",15,15,124
"679",8260919,"202410",16,16,140
"680",8260919,"202420",15,15,155
"681",8262583,"202020",3,3,3
"682",8262583,"202110",3,3,6
"683",8262583,"202120",3,3,9
"684",8262583,"202210",14,27,36
"685",8262583,"202215",3,3,39
"686",8262583,"202220",12,17,56
"687",8262583,"202310",15,15,71
"688",8262583,"202315",6,6,77
"689",8262583,"202320",15,15,92
"690",8262583,"202410",16.5,16.5,108.5
"691",8262583,"202420",18,18,126.5
"692",8262583,"202510",NA,NA,126.5
"693",8265341,"202010",16,25,25
"694",8265341,"202020",14,14,39
"695",8265341,"202110",16,16,55
"696",8265341,"202120",15,15,70
"697",8265341,"202210",15,15,85
"698",8265341,"202215",3,3,88
"699",8265341,"202220",12,12,100
"700",8265341,"202230",3,3,103
"701",8265341,"202310",15,15,118
"702",8265341,"202320",15,15,133
"703",8269664,"202010",12,12,12
"704",8269664,"202020",17,17,29
"705",8269664,"202110",19,25,54
"706",8269664,"202120",15,15,69
"707",8269664,"202210",16.5,16.5,85.5
"708",8269664,"202220",18,18,103.5
"709",8269664,"202310",15,15,118.5
"710",8269664,"202320",12,12,130.5
"711",8270244,"202010",17,22,22
"712",8270244,"202020",17,17,39
"713",8270244,"202110",14.5,14.5,53.5
"714",8270244,"202120",18,18,71.5
"715",8270244,"202210",15,15,86.5
"716",8270244,"202215",3,3,89.5
"717",8270244,"202220",12,12,101.5
"718",8270244,"202310",12,12,113.5
"719",8270244,"202320",6,6,119.5
"720",8270285,"202010",16,16,16
"721",8270285,"202020",15,15,31
"722",8270285,"202110",15,15,46
"723",8270285,"202120",15,15,61
"724",8270285,"202210",15,15,76
"725",8270285,"202220",15,15,91
"726",8270285,"202310",15,15,106
"727",8270285,"202315",6,6,112
"728",8270285,"202320",12,12,124
"729",8271899,"202010",16,22,22
"730",8271899,"202020",14,14,36
"731",8271899,"202110",16,16,52
"732",8271899,"202120",15,15,67
"733",8271899,"202130",3,3,70
"734",8271899,"202210",15,15,85
"735",8271899,"202215",6,6,91
"736",8271899,"202220",15,15,106
"737",8271899,"202230",3,3,109
"738",8271899,"202310",15,15,124
"739",8271899,"202320",12,12,136
"740",8272073,"202010",16,16,16
"741",8272073,"202020",18,18,34
"742",8272073,"202110",19,19,53
"743",8272073,"202120",18,18,71
"744",8272073,"202210",18,18,89
"745",8272073,"202220",20,20,109
"746",8272073,"202230",0,3,112
"747",8272073,"202310",21,21,133
"748",8272073,"202320",12,12,145
"749",8272715,"202010",13,13,13
"750",8272715,"202120",18,18,31
"751",8272715,"202210",14,14,45
"752",8272715,"202220",9,9,54
"753",8272715,"202310",14,14,68
"754",8272715,"202315",3,3,71
"755",8272715,"202320",12,15,86
"756",8272715,"202330",3,8,94
"757",8272715,"202410",0,12,106
"758",8272715,"202420",18,18,124
"759",8273135,"202010",8,27,27
"760",8273135,"202020",14,14,41
"761",8273135,"202030",5,5,46
"762",8273135,"202110",15,15,61
"763",8273135,"202120",15,15,76
"764",8273135,"202210",15,15,91
"765",8273135,"202220",12,12,103
"766",8273135,"202310",15,15,118
"767",8273135,"202315",0,0,118
"768",8273135,"202320",12,12,130
"769",8273135,"202330",3,3,133
"770",8275281,"202010",17,25,25
"771",8275281,"202020",16,16,41
"772",8275281,"202110",16,16,57
"773",8275281,"202120",15,15,72
"774",8275281,"202210",15,15,87
"775",8275281,"202220",16,16,103
"776",8275281,"202310",15,15,118
"777",8275281,"202320",12,12,130
"778",8275768,"201930",6,6,6
"779",8275768,"202010",15,21,27
"780",8275768,"202020",13,13,40
"781",8275768,"202110",13,13,53
"782",8275768,"202120",15,15,68
"783",8275768,"202210",12,12,80
"784",8275768,"202220",15,15,95
"785",8275768,"202310",12,12,107
