"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"449",8336578,"ECO201","202010","Y","D","D",1
"450",8336578,"ISA235","202010","Y","C","C",2
"451",8336578,"MGT291","202120","Y","B","B-",2.7
"452",8336139,"ACC221","201920","Y","C","C-",1.7
"453",8336139,"BUS104","201910","Y","B","B",3
"454",8336139,"CSE148","201920","Y","C","C+",2.3
"455",8336139,"FIN301","202010","Y","A","A",4
"456",8336139,"ISA235","202010","Y","B","B",3
"457",8336139,"MGT291","202015","Y","A","A-",3.7
"458",8336051,"ACC221","202010","Y","B","B+",3.3
"459",8336051,"CSE148","202015","Y","A","A+",4
"460",8336051,"ISA235","202110","Y","A","A-",3.7
"461",8336051,"MGT291","202110","Y","A","A",4
"462",8336051,"MTH151","201920","Y","A","A",4
"463",8335099,"ACC221","201910","Y","B","B",3
"464",8335099,"BUS104","201910","Y","A","A",4
"465",8335099,"CSE148","201920","Y","A","A-",3.7
"466",8335099,"ECO201","202010","Y","A","A-",3.7
"467",8335099,"ISA225","202010","Y","B","B",3
"468",8335099,"ISA235","202010","Y","A","A-",3.7
"469",8334898,"ACC221","201920","Y","C","C+",2.3
"470",8334898,"BUS104","201910","Y","A","A-",3.7
"471",8334898,"CSE148","201920","Y","B","B",3
"472",8334898,"FIN301","202030","Y","C","C-",1.7
"473",8334898,"ISA225","201920","Y","B","B-",2.7
"474",8334898,"ISA235","202010","Y","B","B",3
"475",8334898,"MGT291","202010","Y","A","A",4
"476",8334506,"ACC221","201920","Y","C","C",2
"477",8334506,"BUS104","201920","Y","B","B",3
"478",8334506,"CSE148","201910","Y","A","A-",3.7
"479",8334506,"ECO201","202010","Y","C","C+",2.3
"480",8334506,"ISA225","202010","Y","C","C+",2.3
"481",8334506,"ISA235","202010","Y","B","B-",2.7
"482",8334506,"MTH151","201910","Y","B","B+",3.3
"483",8334152,"ACC221","202010","Y","C","C+",2.3
"484",8334152,"BUS104","201920","Y","C","C+",2.3
"485",8334152,"CSE148","201910","Y","B","B",3
"486",8334152,"FIN301","202110","Y","A","A",4
"487",8334152,"ISA235","201920","Y","B","B+",3.3
"488",8334152,"MGT291","202010","Y","B","B",3
"489",8333498,"ACC221","201920","Y","B","B",3
"490",8333498,"BUS104","201910","Y","A","A-",3.7
"491",8333498,"CSE148","201920","Y","B","B",3
"492",8333498,"ECO201","201910","Y","B","B",3
"493",8333498,"FIN301","202120","Y","C","C+",2.3
"494",8333498,"ISA235","202020","Y","A","A",4
"495",8333498,"MGT291","202110","Y","A","A",4
"496",8333444,"ACC221","201920","Y","A","A-",3.7
"497",8333444,"BUS104","201920","Y","A","A-",3.7
"498",8333444,"CSE148","201910","Y","A","A-",3.7
"499",8333444,"ECO201","202010","Y","A","A-",3.7
"500",8333444,"ISA235","202020","Y","A","A",4
"501",8333444,"MGT291","202110","Y","A","A",4
"502",8333444,"MTH151","201910","Y","A","A-",3.7
"503",8333381,"ACC221","201910","Y","B","B",3
"504",8333381,"BUS104","201910","Y","B","B+",3.3
"505",8333381,"CSE148","201920","Y","A","A-",3.7
"506",8333381,"ECO201","201920","Y","A","A-",3.7
"507",8333381,"FIN301","202020","Y","A","A",4
"508",8333381,"MGT291","202010","Y","A","A",4
"509",8333235,"ACC221","201920","Y","A","A-",3.7
"510",8333235,"BUS104","201910","Y","A","A-",3.7
"511",8333235,"CSE148","201920","Y","A","A",4
"512",8333235,"ECO201","202010","Y","A","A",4
"513",8333235,"ISA225","202010","Y","A","A-",3.7
"514",8333235,"ISA235","202110","Y","B","B+",3.3
"515",8331743,"ACC221","201910","Y","A","A",4
"516",8331743,"BUS104","201910","Y","A","A+",4
"517",8331743,"CSE148","201920","Y","A","A",4
